"Event Name","Event Number","Event Type","Host Names","Description","Price","Age Range","Max Tickets","Sold Count","Wait Count","Starts","Start Date (UTC)","Duration (minutes)","More Info","Room","Space","Date Created","Date Updated","View URI","Player Experience","Game Complexity","Minimum # of Players","Hosting Company, Group, or Club Name","Game System (without edition)","Game Edition","Table Size Request"
"Tiny Epic Dungeons","133","Board and Card Game","Blair Reamy","A fully cooperative dungeon crawler set in the fantasy world of Aughmoore. Control a band of heroes exploring a treacherous dungeon in search of the fearsome Dungeon Boss.","0","Teen (13+)","4","4","0","Saturday at  1:00 PM","2022-10-08T17:00:00","120","https://www.gamelyngames.com/product/tiny-epic-dungeons-deluxe/","Ballroom","204","2022-07-28T14:37:43","2022-09-03T20:27:09","/conventions/u-con-2022/schedule/133","Beginner","Average","2","Amorphous Blob Games",,,"6'x30"" Rectangle (6 chairs)"
"Paint and Take","421","Miniatures","Doug  Houseman","Come choose a miniature, sit down and paint it. Paints, brushes, and miniatures are supplied, Miniatures will be priced based on cost, please pay at Paint and Take","0","Teen (13+)","8","0","0","Saturday at  1:00 PM","2022-10-08T17:00:00","300","http://","Ballroom","105; 106","2022-08-27T19:24:29","2022-08-31T17:31:10","/conventions/u-con-2022/schedule/421","Beginner","Simple","1","",,,"72 x 30"
"Foundations of Rome","359","Board and Card Game","Tony Armada","The city-building board game Foundations of Rome puts you into the role of an architect competing to own land and build magnificent structures! Build domūs and insulae, fountains, foundries, and more","0","Teen (13+)","4","4","0","Saturday at  1:00 PM","2022-10-08T17:00:00","180","https://boardgamegeek.com/boardgame/284189/foundations-rome","Ballroom","206","2022-08-11T13:02:39","2022-09-02T15:08:06","/conventions/u-con-2022/schedule/359","Beginner","Average","2","Oakland County Gamers",,,"8'x30"" Rectangle (6 chairs)"
"Warehouse 13","137","Board and Card Game","Cheryl Orosz","Endless Wonder awaits in this expression of the cult classic Sci Fi TV show. As a Warehouse Agent, your job is to retrieve potentially dangerous artifacts from the field and keep them safe.","0","Teen (13+)","5","1","0","Saturday at  1:00 PM","2022-10-08T17:00:00","300","https://boardgamegeek.com/boardgame/204055/warehouse-13-board-game","Ballroom","311","2022-07-28T14:38:08","2022-09-02T23:15:01","/conventions/u-con-2022/schedule/137","Beginner","Average","2",,,,"6'x18"" Rectangle (6 chairs)"
"Auction","266","Special Events","Nick Huston ","No ticket needed. Registration of items from 11am to 1pm. We charge $1.00 or 10% of the winning bid, whichever is higher, per item sold. No inspections of lots prior please. All sales are final.","0","Family Friendly (7+)","24","9","0","Saturday at  1:00 PM","2022-10-08T17:00:00","120","http://","Auditorium 1","Auditorium 1","2022-08-06T16:07:43","2022-09-14T17:35:56","/conventions/u-con-2022/schedule/266"
"The Black Hack 2e: Introduction to Nu-SR Dungeoncrawling","262","Role Playing","Joshua t Carlton","Come get down and dirty in a randomized dungeoncrawl using my favorite OSR rules, The Black Hack 2e. 

This session will be a great intro to TBH2E, with character creation and a fun lil dungeon dive.","0","Adult (18+)","6","3","0","Saturday at  2:00 PM","2022-10-08T18:00:00","180","http://https://www.instagram.com/p/CiDXLdrOjud/?igshid=YmMyMTA2M2Y=","Conference H","Conference H 2","2022-08-05T12:20:35","2022-09-08T01:11:56","/conventions/u-con-2022/schedule/262","Beginner","Average","3",,"The Black Hack","2E","5' Round"
"The Perfect Dungeo","442","Role Playing","Ryan Veneklase","Machine Learning is an easy way to create dungeons for your players! With just three clicks you can have a fully functional dungeon. This is a dungeon made by a terrible AI! Expect jokes!","0","Teen (13+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference B","Conference B 1","2022-08-27T19:39:52","2022-09-08T23:09:33","/conventions/u-con-2022/schedule/442","Beginner","Average","1","We Hate Bards","Dungeons and Dragons 5th Edition","",""
"Spelljammer Academy: Orientation / Trial by Fire","516","Organized Play","dan harsh","Fall in cadets! It's time for your introduction to Wildspace! (DDAL-SJA-1 & DDAL-SJA-2). Parts 1 & 2 of 4. For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","1","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Clubhouse","Clubhouse 4","2022-09-02T13:06:13","2022-09-12T18:08:09","/conventions/u-con-2022/schedule/516","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"3-10 Delve the Pallid Depths","292","Organized Play","Kurt Wasiluk","A sprawling dwarven ruin lies abandoned within a volcano, and many dangers await those who delve the site to recover its lost treasures!   Level 1-4 Characters, Pregens available.","0","Teen (13+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Elizabeth Ann","Table 03","2022-08-06T20:19:12","2022-09-10T19:28:25","/conventions/u-con-2022/schedule/292","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"3-13 Guardian's Covenant","293","Organized Play","Kurt Wasiluk","Heed the call for heroes! The PCs must perform heroic deeds in the Forest of Trials to secure a fey guardian's continued allegiance.  Level 3-6 Characters, Pregens available, Repeatable.","0","Teen (13+)","6","3","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Elizabeth Ann","Table 04","2022-08-06T20:19:14","2022-09-11T22:45:29","/conventions/u-con-2022/schedule/293","Some XP","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"3-15 Cavern of the Sundered Song","295","Organized Play","Kurt Wasiluk","The PCs pursue a pair of enigmatic Scrollmasters into a strange subterranean realm. Can they learn the secrets of this place and make it out alive? Level 9-12 Characters, no Pregens available.","0","Teen (13+)","6","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Elizabeth Ann","Table 05","2022-08-06T20:19:20","2022-08-06T21:01:36","/conventions/u-con-2022/schedule/295","Some XP","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"Spelljammer Academy: Realmspace Sortie! / H'Catha","524","Organized Play","Daniel E. Chapman II","Fall in cadets! It's time for your introduction to Wildspace! (DDAL-SJA-3 & DDAL-SJA-4). Parts 3 & 4 of 4. For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Clubhouse","Clubhouse 5","2022-09-02T13:06:28","2022-09-04T03:19:32","/conventions/u-con-2022/schedule/524","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"Return the Stolen (Combined: D&D5e & Genesys Fantasy)","103","Role Playing","David Perrin","Two gaming systems for the same adventure.  Choose the game system you wish to try.  Experience the similarities & differences of these systems. No experience needed, rules taught.  Materials provided","0","Family Friendly (7+)","6","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Seminar","Seminar 4","2022-07-23T19:17:22","2022-08-06T00:36:56","/conventions/u-con-2022/schedule/103","Beginner","Average","2","Dave Perrin","(Combined: D&D & Genesys Fantasy)","D&D 5e & Genesys Fantasy Setting","5' Round"
"Nobilis: Four Horsemen","352","Role Playing","Robert Ahrens","For fans of Sandman and Good Omens.  You Four Riders serve the angel with the silver trumpet and await of Revelation.  But now some thoughtless humans have jumpstarted armageddon on their own.","0","Teen (13+)","4","4","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","https://www.drivethrurpg.com/product/141424/Nobilis-the-Game-of-Sovereign-Powers-2002-Edition","Conference E","Conference E 2","2022-08-11T11:52:32","2022-09-02T19:55:35","/conventions/u-con-2022/schedule/352","Beginner","Average","2",,"Nobilis","2nd Edition","5' Round"
"The Goat Mayor (CCC-UCON-02-01)","532","Organized Play","Daniel E. Chapman II","You are asked to rescue the mayor of Basht, who is a goat. Part of a series, can stand alone. For players both new and experienced with characters level 1-4 (tier one). We can provide materials.","0","Family Friendly (7+)","7","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Clubhouse","Clubhouse 01","2022-09-02T13:06:42","2022-09-02T13:50:20","/conventions/u-con-2022/schedule/532","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"The Party That Split (WBW-DC-UCON-01)","534","Organized Play","William Johnston","Basht needs your help. The children have disappeared from a party. Part of a series, can stand alone. For players both new and experienced, characters level 1-4 (tier one). We can provide materials.","0","Family Friendly (7+)","7","1","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Clubhouse","Clubhouse 7","2022-09-02T13:06:46","2022-09-03T16:29:00","/conventions/u-con-2022/schedule/534","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"Traveller: No World to Call My Own","340","Role Playing","Nathan Mezel","A sandbox adventure for a free-trader crew of Travellers set in the Spinward Marches.","0","Family Friendly (7+)","6","4","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference E","Conference E 1","2022-08-07T18:52:34","2022-09-15T14:54:26","/conventions/u-con-2022/schedule/340","Beginner","Average","2","https://www.instagram.com/dj_dungeonmaster/","Mongoose Traveller","2nd","5' Round"
"What Skitters Below / Watcher in Attic","537","Organized Play","Gina Devlin","Two adventures in a series about the strange happenings near the Forsk estate. (DC-POA-PND-2 & DC-POA-PND-3) For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","1","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Clubhouse","Clubhouse 2","2022-09-02T13:06:51","2022-09-14T14:19:19","/conventions/u-con-2022/schedule/537","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"4-02 Return to the Grave","305","Organized Play","Kurt Wasiluk","The PCs travel to the undead-infested Gravelands to find an isolated settlement before the Whispering Tyrant's armies descend upon it.  Level 1-4 Characters, Pregens available.","0","Teen (13+)","6","4","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Elizabeth Ann","Table 06","2022-08-06T20:19:47","2022-09-08T00:12:33","/conventions/u-con-2022/schedule/305","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"A Place of Your Own","246","Role Playing","Ann Anderson","Prohibition-era superpowers. Work at this independent upstate New York resort has given you refuge from Feds and crime families, but it looks like that's about to change. No prior CAPERS XP necessary.","0","Adult (18+)","5","5","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference A","Conference A 1","2022-08-03T23:43:47","2022-09-04T05:06:10","/conventions/u-con-2022/schedule/246","Beginner","Average","3","None","CAPERS","1st Edition","5' Round"
"Star Wars Fate: Above the Clouds","173","Role Playing","Mike Mistele","You have been sent to Cloud City during a sabacc tournament to rendezvous with a Rebel intelligence courier. A Star Wars adventure set during the Rebellion Era, using the Fate Core ruleset.","0","Adult (18+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference G","Conference G 1","2022-07-28T16:48:35","2022-09-08T00:07:15","/conventions/u-con-2022/schedule/173","Some XP","Average","3","Matinee Adventures","Fate Core",,"5' Round"
"Expedition to the Supreme Forge (DDAL-DRW-17)","540","Organized Play","Nicholas Best","Allies reveal the location of the Supreme Forge: the origin of Xorvintroth's blend of artifice and magic and the answers to controlling the city's artifacts. Cold Dark #4. For levels 11-16 (tier 3).","0","Teen (13+)","7","3","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Clubhouse","Clubhouse 9","2022-09-02T17:31:50","2022-09-15T20:20:26","/conventions/u-con-2022/schedule/540","Expert","Average","3","U-Con Adventurers League","D&D","5th",""
"3-09 The Secluded Siege","591","Organized Play","Kurt Wasiluk","Undead hordes are rising from the depths of the Pathfinder Society's lodge in Osirion! The PCs form a strike team to find the source of the threat.  Level 5-8 Characters,  Level 5 Pregens available","0","Teen (13+)","6","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Elizabeth Ann","Table 01","2022-09-12T21:59:14","2022-09-12T22:04:20","/conventions/u-con-2022/schedule/591","Beginner","Average","3"
"Savage Worlds (War-Science Fiction-Horror): Be the Empire","569","Role Playing","Kurt Garwood","Tired of always playing scrappy rebels? Play soldiers fighting for the glory of an empire! Your mission: go behind enemy lines to take out a superweapon. Did we mention the enemy is undead and demons?","0","Teen (13+)","6","1","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference A","Conference A 2","2022-09-07T00:29:42","2022-09-10T19:39:00","/conventions/u-con-2022/schedule/569","Beginner","Average","4",,"Savage Worlds","Adventure Edition (SWADE)","6'x5' Rectangle"
"Kenny G: Keepin' It Saxy","463","Board and Card Game","Kevin Hogan","Help Kenny keep his cool throughout his day!  This is a co-operative game which takes itself seriously enough that it's a challenge, but not so seriously that it isn't fun even when you lose.","0","Teen (13+)","5","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","120","http://","Ballroom","101","2022-08-30T23:40:50","2022-09-01T16:14:31","/conventions/u-con-2022/schedule/463","Beginner","Average","1",,,,"6'x18"" Rectangle (6 chairs)"
"Dice Throne","205","Board and Card Game","Gary Loyola","Players select one of the twenty-four heroes (yes, including the Marvel ones), each with unique abilities, and battle it out using tactical card play and dice rolling to be the last one standing.","0","Teen (13+)","8","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","120","https://boardgamegeek.com/boardgame/268201/dice-throne","Ballroom","308","2022-08-03T23:29:55","2022-08-05T19:33:26","/conventions/u-con-2022/schedule/205","Beginner","Average","2","Oakland County Gamers",,,"6'x18"" Rectangle (6 chairs)"
"5-08:Tarnished Legacy: Star Sugar Superstar!!!","316","Organized Play","Edward A Kabara","Manage a competition hosted by the Starfinder Society and judged by mega-celebrities, including Abysshead, Lita Starr, and Strawberry Machine Cake!  For levels 1-4, pregenerated characters available.","0","Teen (13+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Elizabeth Ann","Table 08","2022-08-06T20:20:17","2022-09-08T03:02:57","/conventions/u-con-2022/schedule/316","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"Battle of Hogwarts: Charms and Potions Exp","110","Board and Card Game","Trisha Kloha","In this cooperative game, you will take on the heroic role of either Harry Potter, Ron Weasley, Ginny Weasley, Hermione Granger or Neville Longbottom in order to defeat a series of evil threats.","0","Teen (13+)","4","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","https://boardgamegeek.com/boardgame/304297/harry-potter-hogwarts-battle-charms-and-potions-ex","Ballroom","201","2022-07-28T14:33:19","2022-08-05T18:24:57","/conventions/u-con-2022/schedule/110","Some XP","Average","1","Amorphous Blob Games",,,"6'x18"" Rectangle (6 chairs)"
"Hive Quick Play ""Quad""","449","Board and Card Game","David Lame","Play the game Hive at rapid speed.  3 games in one hour.  Play 3 different opponents.  Some experience with strategic games recommended, but Hive rules will be taught.","0","Teen (13+)","4","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","60","http://","Ballroom","424","2022-08-29T20:36:19","2022-08-31T17:29:31","/conventions/u-con-2022/schedule/449","Beginner","Average","2",,,,"6'x18"" Rectangle (6 chairs)"
"Starfinder Quests and Bounties","331","Organized Play","Edward A Kabara","Starfinder  Bounties are designed to last about an hour of play and act as an easy introduction to Starfinder.  Level 1 Characters, Pregens available.","0","Teen (13+)","6","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Elizabeth Ann","Table 10","2022-08-06T20:21:02","2022-08-07T01:39:00","/conventions/u-con-2022/schedule/331","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"Open Library","177","Role Playing","Peter Parker, Victor Long","Play any Fellowship of the White Star event the table can agree on. We will have all events available.","0","Teen (13+)","6","4","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://thenodringames.com","Conference D","Conference D 2","2022-07-28T16:49:55","2022-09-05T19:40:02","/conventions/u-con-2022/schedule/177","Beginner","Simple","3","Fellowship of the White Star","Fellowship of the White Star","2nd Edition","5' Round"
"A Million Miles Away","344","Role Playing","Chris Mastey","A group of friends reunites to find one of their own after he goes missing. But are they prepared for what they might find – or what might find them? A modern-day Call of Cthulhu adventure.","0","Adult (18+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","300","http://","Conference E","Conference E 4","2022-08-09T11:42:34","2022-09-02T17:01:34","/conventions/u-con-2022/schedule/344","Beginner","Average","2",,"Call of Cthulhu","7th","5' Round"
"Fight On! Presents: The Blocks of Quox (D&D 0e/1e, OSE, S&W)","94","Role Playing","Sean Stidd","Long ago the illusionist Quox sequestered his treasure in a demon-trapped lair, never to return. A dungeon for your level 3-5 characters or pregens, laid out with minis and Dwarven Forge terrain!","0","Teen (13+)","8","4","0","Saturday at  2:00 PM","2022-10-08T18:00:00","270","http://","Conference H","Conference H 9","2022-07-23T19:12:38","2022-09-02T15:26:32","/conventions/u-con-2022/schedule/94","Some XP","Average","4","Fight On! Publications","D&D","prefer 0e, 1e, OSE, S&W, Basic Fantasy but will take your characters from any edition of D&D, retroclone, or variant; pregens available","6'x5' Rectangle"
"Charnel Harem of Nytrethi","589","Role Playing","Donn Stroud","An ancient tomb holds a horrific secret. Discover gruesome truths in Nytrethi's quest for a perfect child well over 300 years in the past. Mummies, pacts with old chaos gods, and oily, slithering doom","0","Teen (13+)","5","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference H","Conference H 5","2022-09-12T11:45:58","2022-09-12T11:47:30","/conventions/u-con-2022/schedule/589","Some XP","Average","3",,"Old School Essentials",,"5' Round"
"True Crime","169","Role Playing","Peter Parker","Archeologist Howard Carter has been searching the Valley of the Kings since 1907; without ""the big find"" he may his lose funding and permits.  He seeks help from the Fellowship and the Atlas Library.","0","Teen (13+)","6","5","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://www.thenodringames.com","Conference D","Conference D 1","2022-07-28T16:44:05","2022-09-05T19:40:38","/conventions/u-con-2022/schedule/169","Beginner","Simple","3","Fellowship of the White Star","Fellowship of the White Star","2nd Edition","5' Round"
"Mutants & Mayhem","458","Role Playing","Shane Harsch","Make your own mutant or robot in the first hour and then adventure under an Atomic Sky for the remaining time. Relics & Raiders. Cults & Critters. Beasts & Bots. Secrets of the Glow...","0","Teen (13+)","5","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","https://legendsmiths.com/atomic-sky/","Conference E","Conference E 3","2022-08-30T11:54:32","2022-08-31T17:30:53","/conventions/u-con-2022/schedule/458","Beginner","Average","3","Legendsmiths","Hero System","6E","5' Round"
"Tales of the Undead King","157","Role Playing","Forest Ray","The Undead King needs you to help him stop the plague of the undead monsters from running amok. Simply collect three artifacts for the King so he can stop the monsters.  Easy right?","0","Family Friendly (7+)","6","2","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference H","Conference H 6","2022-07-28T16:37:34","2022-09-02T18:18:14","/conventions/u-con-2022/schedule/157","Beginner","Average","3",,"","Advanced labyrinth Lord","6'x30"" Rectangle"
"John Company","234","Board and Card Game","John Curran","Promise and cajole your way to the top whilst running the East India Company! This is a sandbox game with a high degree of player negotiation. From famed designer Cole Wehrle.","0","Teen (13+)","6","3","0","Saturday at  2:00 PM","2022-10-08T18:00:00","180","http://","Ballroom","418","2022-08-03T23:40:29","2022-09-02T17:20:14","/conventions/u-con-2022/schedule/234","Beginner","Complex","3","Ypsi Gaming Group",,"","6'x30"" Rectangle (6 chairs)"
"Star Trek Adventures 2d20 - The Tip of the Bat'Leth","372","Role Playing","Sean Nicol","Star Trek Adventures 2d20 - Klingon Quickstart - The Tip of the Bat’Leth.  4-6 Players. Characters Provided.","0","Teen (13+)","6","2","0","Saturday at  2:00 PM","2022-10-08T18:00:00","300","http://","Clubhouse","Clubhouse 8","2022-08-11T21:58:25","2022-09-12T21:33:20","/conventions/u-con-2022/schedule/372","Beginner","Average","4","Ann Arbor Iron Gods","Star Trek Adventures 2d20","1st","5' Round"
"Road Kill Rally","125","Board and Card Game","Mark Kloha","As a driver in the Road-Kill Rally, you are racing against opponents eager to destroy you with guns, rockets and flame throwers. But the big points come from scoring pedestrians!","0","Teen (13+)","6","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://https://boardgamegeek.com/boardgame/65225/road-kill-rally","Ballroom","202","2022-07-28T14:36:56","2022-08-05T18:27:52","/conventions/u-con-2022/schedule/125","Beginner","Simple","2","Amorphous Blob Games",,,"6'x18"" Rectangle (6 chairs)"
"The Adventure of The King's Gambit","604","Role Playing","Robert Schroeder","Alliances between enemies is always difficult. But such are the demands of Chivalry.","0","Teen (13+)","6","0","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Seminar","Seminar 2","2022-09-15T16:45:08","2022-09-15T16:48:17","/conventions/u-con-2022/schedule/604","Beginner","Simple","3",,"King Arthur Pendragon","5th","5' Round"
"Sleeping Beauty","180","Role Playing","M Rachelle Tucker-Long","1890s, a young woman who has been in a coma for nearly a year is revealed to be pregnant. The family demands answers, the hospital seeks to save their reputation and find answers. Role-play heavy.","0","Mature Content (18+)","6","2","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference F","Conference F 1","2022-07-29T11:51:22","2022-09-15T07:07:28","/conventions/u-con-2022/schedule/180","Beginner","Simple","3",,"Call of Cthulhu","7","5' Round"
"Necronautilus","259","Role Playing","Andrew Hooks","You are an incorporeal soul bound to a cloud of noxious gas. You are an Agent of the blind god Death. Using Words of Power, you explore planets in a universe outside of time.","0","Adult (18+)","5","3","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","https://www.worldchamp.io/necronautilus","Conference F","Conference F 2","2022-08-05T12:18:55","2022-09-02T15:15:14","/conventions/u-con-2022/schedule/259","Beginner","Average","2",,"Necronautilus"
"Blood on the Clocktower","553","Board and Card Game","Matt Gutierrez","Blood on the Clocktower is a bluffing game enjoyed by 5 to 20 players on opposing teams of Good and Evil, overseen by a Storyteller player who conducts the action and makes crucial decisions.","0","Adult (18+)","15","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","120","http://https://boardgamegeek.com/boardgame/240980/blood-clocktower","Ballroom","102","2022-09-04T21:01:49","2022-09-08T13:35:40","/conventions/u-con-2022/schedule/553","Beginner","Average","5"
"Star Trek Panic","192","Board and Card Game","Nancy Hutchins","Star Trek Panic is a cooperative light strategy game based on Castle Panic that challenges players to defend the U.S.S. Enterprise from enemy attacks.","0","Teen (13+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","120","https://firesidegames.com/games/star-trek-panic/","Ballroom","310","2022-07-29T15:26:39","2022-09-12T12:23:35","/conventions/u-con-2022/schedule/192","Beginner","Simple","2",,,,"6'x30"" Rectangle (6 chairs)"
"Living Forest","53","Board and Card Game","Nicholas Baker","In Living Forest, you are a spirit trying to save the forest from an evil fire spirit. By choosing animal guardians, you can plant protective trees, put out fires, and sanctify the spirit circle.","0","Teen (13+)","4","3","1","Saturday at  2:00 PM","2022-10-08T18:00:00","120","https://boardgamegeek.com/boardgame/328479/living-forest","Ballroom","301","2022-07-23T18:54:12","2022-09-09T16:59:13","/conventions/u-con-2022/schedule/53","Beginner","Average","2",,,,"6'x18"" Rectangle (6 chairs)"
"Under the Salvage Pits","182","Role Playing","James Andrew Pozenel Jr","Venture into a predisaster research park that was cataclysmically buried. Rooje Hill’s holds a secret: the Lost Vault of Underhill. Adventure in a new Goodman Games MCC RPG with the author.","0","Teen (13+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference H","Conference H 7","2022-07-29T11:52:12","2022-09-08T02:48:24","/conventions/u-con-2022/schedule/182","Beginner","Average","4",,"MCC RPG",,"5' Round"
"Dune Imperium: with Rise of Ix Expansion","45","Board and Card Game","David Miller","Dune: Imperium uses deck-building to add a hidden-information angle to traditional worker placement.
As a leader of one of the Great Houses, raise your banner and marshal your forces and spies.","0","Teen (13+)","4","4","0","Saturday at  2:00 PM","2022-10-08T18:00:00","120","http://https://www.direwolfdigital.com/dune-imperium/","Ballroom","421","2022-07-23T18:40:19","2022-09-02T15:12:25","/conventions/u-con-2022/schedule/45","Some XP","Average","3",,,"","6'x18"" Rectangle (6 chairs)"
"Okko Chronicles: Cycle of Water","243","Board and Card Game","David Reynolds","Okko Chronicles puts a unique spin on the one versus many crawl. Players must investigate to discover the true nature and location of the Oni as much as battle its minions.","0","Adult (18+)","3","2","0","Saturday at  2:00 PM","2022-10-08T18:00:00","180","http://","Ballroom","416","2022-08-03T23:42:20","2022-09-11T23:47:24","/conventions/u-con-2022/schedule/243","Beginner","Average","2","Ypsi Gaming Group",,"","8'x30"" Rectangle (6 chairs)"
"Zombicide","424","Miniatures","Doug  Houseman","A mega board with mega challenges, all in good fun. The game is simple to learn and there are normally a lot of laughs.","0","Teen (13+)","8","1","0","Saturday at  2:00 PM","2022-10-08T18:00:00","120","http://","Ballroom","401","2022-08-27T19:24:48","2022-09-02T15:36:04","/conventions/u-con-2022/schedule/424","Beginner","Simple","1","Mini Group",,,"96 x 48"
"Kobolds at the DMV","433","Role Playing","Cristopher Frank","A group of Kobolds accidentally get transported to Mechanus, the plane of ultimate law. Without a way back they will have to brave the multiverse's ultimate bureaucracy to find a way home.","0","Teen (13+)","6","6","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference B","Conference B 3","2022-08-27T19:39:14","2022-09-02T15:07:50","/conventions/u-con-2022/schedule/433","Beginner","Average","1","We Hate Bards","Dungeons and Dragons 5th Edition","",""
"Tékumel: Renovations","406","Role Playing","Brett Slocum","A hidden doorway is revealed while repairing the basement of your clanhouse in Jakalla. Do you dare explore what lies beyond? Features Jakalla underworld maps and key by M.A.R. Barker.","0","Teen (13+)","5","5","2","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://tekumel.com","Seminar","Seminar 5","2022-08-21T18:20:27","2022-09-03T17:47:38","/conventions/u-con-2022/schedule/406","Beginner","Simple","3","Tekumel Track, OSR Track","The Black Hack","The Petal Hack 2nd Ed.","6'x5' Rectangle"
"Ogre Party","434","Role Playing","Matthew Neymeiyer","It's your tribes' turn to host the annual Ogre Bowl. Unfortunately a village of humans has moved into your arena, and you have been tasked with their eviction.","0","Teen (13+)","6","5","0","Saturday at  2:00 PM","2022-10-08T18:00:00","240","http://","Conference B","Conference B 2","2022-08-27T19:39:16","2022-09-08T10:36:08","/conventions/u-con-2022/schedule/434","Beginner","Average","1","We Hate Bards","Dungeons and Dragons 5th Edition","",""
"Silverton","27","Board and Card Game","allen stiles","","0","Adult (18+)","12","0","0","Saturday at  3:00 PM","2022-10-08T19:00:00","180","http://","Ballroom","317","2022-07-15T17:17:27","2022-08-05T18:00:41","/conventions/u-con-2022/schedule/27","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Streetcar","31","Board and Card Game","allen stiles","","0","Adult (18+)","12","0","0","Saturday at  3:00 PM","2022-10-08T19:00:00","180","http://","Ballroom","315","2022-07-15T17:17:42","2022-08-05T18:02:48","/conventions/u-con-2022/schedule/31","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Convoy on a Storm Night (Cruel Seas)","317","Miniatures","David Nelson","A small convoy of merchant ships attempts to sneak up the channel to a safe harbor.  Out in the darkness, a force of sleek predators is hunting them.  Who will live through the night?","0","Teen (13+)","8","1","0","Saturday at  3:00 PM","2022-10-08T19:00:00","180","http://","Ballroom","403","2022-08-06T20:20:19","2022-09-02T16:15:09","/conventions/u-con-2022/schedule/317","Beginner","Simple","2","na",,,"96 x 30"
